"categoria, categoriaml, marca, modelo, modelo2*?, modelo 3*?",Marca,Modelo,Categoría 1,CAT ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,,Ancho,Largo (cm),Profundidad,Cod item (Rep),Precio USA,,Recauchitado viejo,Prioridad,Modelo2,Modelo3,TIPO,titulo viejo,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
xx77,Lg,Hbs-900,Auriculares,Auriculares,,"0,13",,SI,0,,,,xx77,"80,5","80,5",xx77,,,,,,,#REF!,,,,,,,,,,,,,,xx77,Lg,Hbs-900,Lg Hbs-900,Guitarra y Bajo,,Auriculares,,,,,,
13,Line 6,Dl4 Delay,Pedal de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedal de efectos p/ guitarra,"1,63",,SI,0,"33,5","16,5","7,5",13,175,175,13,A,,,Pedal de efectos p/ guitarra,Line 6 DL4 - Pedal de Delay y looper para guitarra,"1,82",#REF!,"(1) DL4 Delay Modeler
 (1) Stickers
 (1) User Manual",si,Line 6 Dl4 Pedal de Delay Nuevo caja cerrada c/ gtia en Arg!,60,Dl4 Delay,Dl-4 Delay,,Pedal de Efecto p/guitarra,Pedal de Delay - Emula diferentes modelos de pedales,Pedal de delay para guitarristas,http://line6.com/dl4/,http://line6.com/data/6/0a06434d1170b507f35a232d64/application/pdf/DL4%20Quick%20Start%20Pilot%E2%80%99s%20Handbook%20-%20Spanish%20(%20Rev%20B%20).pdf,Diseñado en USA y Fabricado en China,13,Line 6,Dl4 Delay,Line 6 Dl4 Delay,Guitarra y Bajo,,Pedal de efecto p/ guitarra,Pedal de efectos p/ guitarra,,,,,
14,Line 6,Pod Hd 500,Pedalera de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedalera de efectos p/ guitarra & amp sim,"6,285",,SI,0,,,,14,350,350,14,A,Pod Hd500,,Pedalera de efectos p/ guitarra & amp sim,Line 6 Pod HD 500 - multi efectos de guitarra - HD500 !!!,"6,29",#REF!,"(1) Line 6 POD HD500
 (1) USB Cable
 (1) User Guide (Printed)",si,Line 6 Pod Hd 500 / Hd500 Pedalera Nueva con Gtia en Arg!,57,Pod Hd 500,Pod Hd500,,Pedal de Efecto p/guitarra,Pedalera multiefectos y simulador de amplificadores,Pedalera para guitarra con amp sim y efectos,,http://line6.com/data/6/0a060b316ac34f059389b00e6/application/pdf/POD%20HD500%20Quick%20Start%20Guide%20-%20Spanish%20(%20Rev%20C%20).pdf,Diseñado en USA y Fabricado en China,14,Line 6,Pod Hd 500,Line 6 Pod Hd 500,Guitarra y Bajo,,Pedalera de efecto p/ guitarra,Pedalera de efectos p/ guitarra & amp sim,,,,,
15,Line 6,Jm4 Looper,Pedal de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedal de efectos p/ guitarra,"3,09",,SI,"0,01","45,5","23,5","11,5",15,229,229,15,B,Jm 4,,Pedal de efectos p/ guitarra,Line 6 JM4 Looper - Pedal modelador de efectos - JM 4 looper,"3,09",#REF!,"(1) JM4 Looper
 (1) Owner's Manual",si,,,Jm4,Jm-4,,Pedal de Efecto p/guitarra,Pedal Looper con efectos y simulaciones de amplificadores,Looper / pedal para guitarristas,http://line6.com/jm4looper/,http://line6.com/data/6/0a060b316ac34f059402858f9/application/pdf/JM4%20Pilot's%20Handbook%20-%20Spanish%20(%20Rev%20C%20).pdf,Diseñado en USA y Fabricado en China,15,Line 6,Jm4 Looper,Line 6 Jm4 Looper,Guitarra y Bajo,,Pedal de efecto p/ guitarra,Pedal de efectos p/ guitarra,,,,,
16,Line 6,M13,Pedalera de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedalera de efectos p/ guitarra,"5,95",,SI,"0,02",53,"33,5",11,16,368,368,16,B,M 13,,Pedalera de efectos p/ guitarra,Line 6 M13 - Pedalera modeladora multiefecto - M 13,"5,95",#REF!,"(1) M13 Stompbox
 (1) User Manual",si,Line 6 M13 / M 13 Pedalera Nueva cja cerrada c/ gtia en Arg!,60,M13,M 13,,Pedal de Efecto p/guitarra,Stompbox Modeler Pedalera Multiefecto p/ guitarra,Pedalera emuladora de efectos para guitarristas,http://line6.com/m13/,http://line6.com/data/6/0a060b316ac34f0593fe2b17a/application/pdf/M13%20Stompbox%20Modeler%20Users%20Manual%20-%20Spanish%20(%20Rev%20C%20).pdf,Diseñado en USA y Fabricado en China,16,Line 6,M13,Line 6 M13,Guitarra y Bajo,,Pedalera de efecto p/ guitarra,Pedalera de efectos p/ guitarra,,,,,
17,Line 6,M9,Pedalera de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedalera de efectos p/ guitarra,"2,985",,SI,"0,01",42,24,11,17,299,299,17,A,M 9,,Pedalera de efectos p/ guitarra,Line 6 M9 - Pedalera modeladora multiefecto - M 9,3,#REF!,"(1) Line 6 M9 Stompbox Modeler
 (1) User Guide (Printed)",si,Line 6 M9 Pedal / Pedalera Nueva caja cerrada c/gita en Arg!,60,M9,,,Pedal de Efecto p/guitarra,Stompbox Modeler Pedalera Multiefecto p/ guitarra,Pedalera emuladora de efectos para guitarristas,http://line6.com/m9/,http://line6.com/data/6/0a060b316ac34f0593fb7d58c/application/pdf/M9%20Pilot's%20Handbook%20-%20Spanish%20(%20Rev%20B%20).pdf,Diseñado en USA y Fabricado en China,17,Line 6,M9,Line 6 M9,Recording,Interfaces de audio,Pedalera de efecto p/ guitarra,Pedalera de efectos p/ guitarra,,,,,
37,Line 6,Pod hd 300,Pedalera de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedalera de efectos p/ guitarra,"6,3",,NO,0,,,,37,0,,37,,,,,,,#REF!,,,,,,,,,,,,,,37,Line 6,Pod hd 300,Line 6 Pod hd 300,Recording,Interfaces de audio,Pedalera de efecto p/ guitarra,Pedalera de efectos p/ guitarra,,,,,
xx68,Line 6,M5,Pedal de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"1,61",,SI,"0,01","18,5",30,"9,5",xx68,101,117,xx68,,M 5,,,,,#REF!,,,,,,,,,,,,,,xx68,Line 6,M5,Line 6 M5,Recording,Interfaces de audio,Pedal de efecto p/ guitarra,,,,,,
mm1,Line 6,Pod studio Ux1,,Electronica audio video otros,,"0,735",,,0,"19,4","21,4","9,2",mm1,115,115,mm1,,,,,,,#REF!,,,,,,,,,,,,,,mm1,Line 6,Pod studio Ux1,Line 6 Pod studio Ux1,Recording,,,,,,,,
19,M-audio,Fast Track Pro + Pro Tools Mp,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"1,02",,SI,0,27,22,"7,5",19,0,,19,B,,,Placa Usb Interfaz de audio / sonido,M-Audio Fast Track Pro + Pro Tools MP - Placa de sonido USB,"1,02",#REF!,,,,,,,,Placa de sonido externa,Placa de audio externa usb,Placa de sonido Usb,,,Fabricado en China,19,M-audio,Fast Track Pro + Pro Tools Mp,M-audio Fast Track Pro + Pro Tools Mp,Guitarra y Bajo,,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,,
21,M-audio,Mobile Pre Mkii + Pro Tools SE,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"0,795",,SI,0,"24,2","20,5",7,21,84,84,21,A,MobilePre Mk 2,,Placa Usb Interfaz de audio / sonido,M-Audio Mobilepre MKII - Interfaz externa USB 2 in 2 out,"0,8",#REF!,"(1) Avid MobilePre
 (1) USB Cable
 (1) Drivers and Documentation CD
 (1) Pro Tools SE Software DVD
 (1) Quick Setup Guide",si,M-audio Mobile Pre Mkii usb + Pro tools SE c/ gtia en Arg!,58,Mobile Pre Mkii + Pro Tools SE,,,Placa de sonido externa,Placa de audio externa usb,Placa de sonido Usb,,http://akmedia.digidesign.com/support/compressed/MobilePre%20User%20Guide_EN_77637.pdf,Fabricado en China,21,M-audio,Mobile Pre Mkii + Pro Tools SE,M-audio Mobile Pre Mkii + Pro Tools SE,,,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,,
38,M-audio,M-Track Plus,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"1,17",,SI,"0,01","22,5","18,5","12,7",38,79,79,38,A,Mtrack,,Placa Usb Interfaz de audio / sonido,M-Audio M-Track PLUS - Placa de soinido de 2 canales Midi,"1,17",#REF!,,,,,M-Track Plus,,,Placa de sonido externa,Placa de audio externa usb,Placa de sonido Usb,http://www.m-audio.com/products/en_us/MTrackPlus.html,http://www.m-audio.com/images/global/manuals/M-Track%20Plus%20-%20User%20Guide%20-%20v1.1.pdf,Fabricado en China,38,M-audio,M-Track Plus,M-audio M-Track Plus,DJ,,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,,
xx42,M-Audio,Keystation Mini 32 MKII,Teclado controlador Usb,Controladores,,"0,715",,SI,0,45,14,6,xx42,79,79,xx42,,,,,,,#REF!,,,,,,,,,,,,,,xx42,M-Audio,Keystation Mini 32 MKII,M-Audio Keystation Mini 32 MKII,Recording,Interfaces de audio,Teclado controlador Usb,,,,,,
mm2,M-audio,M-Track Plus II,,Electronica audio video otros,,"1,34",,,"0,01","39,3",15,"10,2",mm2,116,107,mm2,,,,,,,#REF!,,,,,,,,,,,,,,mm2,M-audio,M-Track Plus II,M-audio M-Track Plus II,DJ,,,,,,,,
xx3,Mxr,Phase 90,Pedalera de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,Pedal de efectos p/ guitarra,"0,5",,NO,0,,,,xx3,79,79,xx3,,,,,,,#REF!,,,,,,,,,,,,,,xx3,Mxr,Phase 90,Mxr Phase 90,,,Pedalera de efecto p/ guitarra,Pedal de efectos p/ guitarra,,,,,
xx28,N/A,Transformadores,Accesorios,,,"1,285",,SI,0,12,8,12,xx28,,,xx28,,,,,,,#REF!,,,,,,,,,,,,,,xx28,N/A,Transformadores,N/A Transformadores,,,Accesorios,,,,,,
xx14,Native Instruments,Traktor kontrol x1,Controlador DJ usb,Controladores,,"1,15",,SI,0,,,,xx14,137,137,xx14,,,,,,,#REF!,,,,,,,,,,,,,,xx14,Native Instruments,Traktor kontrol x1,Native Instruments Traktor kontrol x1,,,Controlador DJ usb,,,,,,
xx41,Native Instruments,Traktor Scratch A6,Interfaz de audio Usb,Electronica audio video otros,,"2,085",,SI,"0,01",34,32,10,xx41,299,299,xx41,,,,,,,#REF!,"(1) Traktor Audio 6
 (2) Traktor Scratch Control Discs MK2
 (4) RCA Cables
 (1) USB Cable
 (2) Tractor Scratch Control Vinyls MK2 (Black)
 (1) Traktor Audio 6 Drivers code
 (1) Traktor Scratch Pro 2 software code",si,,,,,,,,,,,,xx41,Native Instruments,Traktor Scratch A6,Native Instruments Traktor Scratch A6,,,Interfaz de audio Usb,,,,,,
xx52,Native Instruments,Traktor Kontrol F1,Controlador DJ usb,Controladores,,"1,17",,SI,"0,01","36,5","18,5","9,5",xx52,175,175,xx52,,,,,,,#REF!,,,,,,,,,,,,,,xx52,Native Instruments,Traktor Kontrol F1,Native Instruments Traktor Kontrol F1,,,Controlador DJ usb,,,,,,
xx71,Native Instruments,Traktor Kontrol X1 MKII,Controlador Usb,Controladores,,"1,13",,SI,"0,01","36,5","18,3","9,5",xx71,174,174,xx71,,,,,,,#REF!,,,,,,,,,,,,,,xx71,Native Instruments,Traktor Kontrol X1 MKII,Native Instruments Traktor Kontrol X1 MKII,"fotografia, deporte y hogar",,Controlador Usb,,,,,,
xx78,Native Instruments,Traktor Kontrol Z1,,Electronica audio video otros,,"1,52",,SI,"0,01","45,2","18,2","9,2",xx78,398,398,xx78,,,,,,,#REF!,,,,,,,,,,,,,,xx78,Native Instruments,Traktor Kontrol Z1,Native Instruments Traktor Kontrol Z1,Recording,DJ,,,,,,,
xx74,Native Instruments,Maschine Mikro MK2,Controlador Usb,Controladores,,"1,745",,SI,"0,01","37,7","22,2","9,4",xx74,278,278,xx74,,,,,,,#REF!,"(1) Maschine MK2 Groove Production Studio - White
 (1) USB Cable
 (1) Komplete Elements Install Disc
 (1) Maschine Installation Disc
 (1) Manual",si,,,,,,,,,,,,xx74,Native Instruments,Maschine Mikro MK2,Native Instruments Maschine Mikro MK2,,,Controlador Usb,,,,,,
mm3,Native Instruments,Traktor Audio 2 MK2 LN,,Electronica audio video otros,,"0,5",,NO,,,,,mm3,90,89,mm3,,,,,,,#REF!,,,,,,,,,,,,,,mm3,Native Instruments,Traktor Audio 2 MK2 LN,Native Instruments Traktor Audio 2 MK2 LN,Recording,Interfaces de audio,,,,,,,
45,Natrol,5-Htp 50mg,Suplementos,,Vitaminas y Complementos Naturales,"0,04",,SI,0,,,,45,0,0,45,,,,,,"0,04",#REF!,,,,,5-Htp 50mg,,,Suplementos,,,,,,45,Natrol,5-Htp 50mg,Natrol 5-Htp 50mg,DJ,,Suplementos,Vitaminas y Complementos Naturales,,,,,
51,Natrol,Memory Complex,Suplementos,,Vitaminas y Complementos Naturales,"0,7",,SI,0,,,,51,0,0,51,,,,Vitaminas y Complementos Naturales,,"0,7",#REF!,,,,,Memory Complex,,,Suplementos,,,,,,51,Natrol,Memory Complex,Natrol Memory Complex,DJ,,Suplementos,Vitaminas y Complementos Naturales,,,,,
54,Nikon,Coolpix AW110,Camara Fotografica,,Camara Digital,"0,755",,SI,0,,,,54,184,184,54,A,AW 110,,Camara Digital,,"0,76",#REF!,,,Nikon Coolpix Aw110 Camara Refubrished c/Gtia 6 meses en arg,60,Coolpix AW110,Coolpix AW 110,,Camara Fotografica,,,,,Fabricado en Indonesia,54,Nikon,Coolpix AW110,Nikon Coolpix AW110,DJ,,Camara Fotografica,Camara Digital,,,,,
xx23,Novation,Launchpad Mini,Controlador Usb,Controladores,,"0,645",,SI,0,"20,5","22,5","3,7",xx23,115,75,xx23,,Launch pad mini,,,,,#REF!,,,,,,,,,,,,,,xx23,Novation,Launchpad Mini,Novation Launchpad Mini,DJ,,Controlador Usb,,,,,,
xx79,Novation,Launchpad S,,Electronica audio video otros,,"1,03",,SI,0,26,28,"3,2",xx79,90,90,xx79,,,,,,,#REF!,,,,,,,,,,,,,,xx79,Novation,Launchpad S,Novation Launchpad S,"fotografia, deporte y hogar",,,,,,,,
mm11,Novation,Launch control,,Electronica audio video otros,,"0,415",,NO,,"17,5","13,5",8,mm11,180,180,mm11,,,,,,,#REF!,,,,,,,,,,,,,,mm11,Novation,Launch control,Novation Launch control,Recording,Interfaces de audio,,,,,,,
22,Numark,Dj Io,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"0,45",,SI,0,21,26,9,22,87,87,22,B,,,Placa Usb Interfaz de audio / sonido,Numark DJ IO - Interfaz de audio USB de baja latencia,"0,45",#REF!,,,,,Dj io,,,Placa de sonido externa,Placa de audio externa usb,Placa de sonido Usb,http://www.numark.com/product/djio,http://www.numark.com/images/product_downloads/DJiO_Quickstart_Guide_v1.5.pdf,Fabricado en China,22,Numark,Dj Io,Numark Dj Io,Recording,Interfaces de audio,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,,
23,Numark,Mixtrack,Controlador DJ usb,Controladores,Controlador Midi usb p/ Dj,"2,5",,SI,0,,,,23,98,98,23,A,,,Controlador Midi usb p/ Dj,Numark Mixtrack - Controlador DJ con Virtual DJ,"2,5",#REF!,"(1) Numark Mixtrack
 (1) USB Cable
 (1) Quick Start Guide
 (1) Warranty",si,Numark Mixtrack Controlador p/ dj Nuevo cja cerrada con gtia,60,Mixtrack,Mix track,,Controlador DJ,,,http://www.numark.com/product/mixtrack,http://www.numark.com/images/product_downloads/mixtrack_20__20quickstart_20guide_20__20v1.0_1_.pdf,Fabricado en China,23,Numark,Mixtrack,Numark Mixtrack,Recording,Interfaces de audio,Controlador DJ usb,Controlador Midi usb p/ Dj,,,,,
24,Numark,Mixtrack Pro,Controlador DJ usb,Controladores,Controlador Midi usb p/Dj con placa de audio / sonido,"2,72",,SI,0,,,,24,200,200,24,A,,,Controlador Midi usb p/Dj con placa de audio / sonido,Numark Mixtrack Pro - Controlador DJ C/placa de pre escucha,"2,72",#REF!,"(1) Numark MixTrack Pro
 (1) USB Cable
 Quick start guide",si,Numark Mixtrack pro Controlador con placa de audio c/ gtia!,59,Mixtrack Pro,Mix track Pro,,Controlador DJ,,,http://www.numark.com/product/mixtrackpro,http://www.numark.com/images/product_downloads/Mixtrack_Pro_-_Quickstart_Guide_-_v1.6.pdf,Fabricado en China,24,Numark,Mixtrack Pro,Numark Mixtrack Pro,Recording,Interfaces de audio,Controlador DJ usb,Controlador Midi usb p/Dj con placa de audio / sonido,,,,,
25,Numark,Total Control,Controlador DJ usb,Controladores,Controlador Midi usb p/ Dj,"2,485",,SI,0,,,,25,0,,25,B,,,Controlador Midi usb p/ Dj,Numark Total Control - Controlador DJ par Virtual o Traktor,"2,49",#REF!,,,,,Total Control,,,Controlador DJ,,,http://www.numark.com/product/totalcontrol,http://www.numark.com/images/product_downloads/total_control___quickstart_guide___v1.5.pdf,Fabricado en China,25,Numark,Total Control,Numark Total Control,,,Controlador DJ usb,Controlador Midi usb p/ Dj,,,,,
39,Numark,Mixtrack II,Controlador DJ usb,Controladores,Controlador Midi usb p/ Dj,"2,735",,SI,"0,02",53,32,10,39,129,129,39,A,Mix track 2,,Controlador Midi usb p/ Dj,Numark Mixtrack II - Controlador DJ Nuevas en Argentina,"2,74",#REF!,,,Numark Mixtrack II 2 p/ dj caja cerrada con garantia en Arg!,60,Mixtrack II,Mix track 2,,Controlador DJ,,,http://www.numark.com/product/mixtrack-ii,http://www.numark.com/images/product_downloads/Mixtrack_II_-_User_Guide_-_v1.0.pdf,Fabricado en China,39,Numark,Mixtrack II,Numark Mixtrack II,,,Controlador DJ usb,Controlador Midi usb p/ Dj,,,,,
mm4,Numark,Mixtrack Pro II,,Electronica audio video otros,,,,,,,,,mm4,0,,mm4,,,,,,,#REF!,,,,,,,,,,,,,,mm4,Numark,Mixtrack Pro II,Numark Mixtrack Pro II,Recording,,,,,,,,
mm8,Ploom,Pax,,Electronica audio video otros,,,,,,,,,mm8,76,76,mm8,,,,,,,#REF!,,,,,,,,,,,,,,mm8,Ploom,Pax,Ploom Pax,Recording,,,,,,,,
xx46,Polar,Loop,Accesorios Deportivos,Accesorios Deportivos,,"0,125",,SI,0,13,19,5,xx46,38,80,xx46,,,,,,,#REF!,,,,,,,,,,,,,,xx46,Polar,Loop,Polar Loop,Vivo,Voces,Accesorios Deportivos,,,,,,
53,Presonus,Audiobox Usb,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"1,2",,SI,0,,,,53,89,89,53,A,Audio Box,,Placa Usb Interfaz de audio / sonido,,"1,2",#REF!,,,Presonus audiobox usb / audio box Nuevo c/ garantia en Arg!,59,Audiobox usb,audio box usb,,Placa de sonido externa,Placa de audio externa usb,Placa de sonido Usb,http://www.presonus.com/products/audiobox-usb,http://www.presonus.com/uploads/products/2887/downloads/AudioBoxUSB_OwnersManual_ES1.pdf,Diseñado en USA y Fabricado en China,53,Presonus,Audiobox Usb,Presonus Audiobox Usb,Vivo,Voces,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,,
xx7,Presonus,Audiobox 1818Vsl,Interfaz de audio Usb 2.0,Electronica audio video otros,,"4,09",,SI,"0,02",60,"30,5","12,5",xx7,331,331,xx7,,,,,,,#REF!,(1) PreSonus AudioBox 1818VSL(1) USB Cable (1) Studio One Artist Installation Disc(1) Virtual Studio Live Software Installation Disc(1) User Guide,si,,,,,,,,,,,,xx7,Presonus,Audiobox 1818Vsl,Presonus Audiobox 1818Vsl,,,Interfaz de audio Usb 2.0,,,,,,
xx8,Presonus,Audiobox 44Vsl,Placa de audio Usb 2.0,Placas USB - Firewire,,"2,235",,SI,"0,01",41,20,11,xx8,183,183,xx8,,,,,,,#REF!,(1) PreSonus AudioBox 44VSL (1) USB Cable(1) Studio One Artist Installation Disc(1) Virtual Studio Live Software Installation Disc(4) Rubber Feet(1) User Guide,si,,,,,,,,,,,,xx8,Presonus,Audiobox 44Vsl,Presonus Audiobox 44Vsl,Guitarra y Bajo,Accesorios,Placa de audio Usb 2.0,,,,,,
xx9,Presonus,Audiobox 22Vsl,Placa de audio Usb 2.0,Placas USB - Firewire,,"1,5",,SI,0,,,,xx9,138,138,xx9,,,,,,,#REF!,,,,,,,,,,,,,,xx9,Presonus,Audiobox 22Vsl,Presonus Audiobox 22Vsl,Recording,Accesorios,Placa de audio Usb 2.0,,,,,,
mm24,Presonus,AudioBox iOne,Placa de audio Usb 2.0,Placas USB - Firewire,,"0,917",,,0,"22,1","22,7","8,7",mm24,92,92,mm24,,,,,,,#REF!,"(1) AudioBox™ iOne
 (1) USB Cable
 (1) User Guide",si,,,,,,,,,,,,mm24,Presonus,AudioBox iOne,Presonus AudioBox iOne,fotografia y hogar,,Placa de audio Usb 2.0,,,,,,
xx18,Rayban,Rb3025 Gold 58mm,Lentes,,,"0,16",,SI,0,,,,xx18,0,,xx18,,,,,,,#REF!,,,,,,,,,,,,,,xx18,Rayban,Rb3025 Gold 58mm,Rayban Rb3025 Gold 58mm,fotografia y hogar,,Lentes,,,,,,
xx59,Roland,R-05,Grabador digital Usb,Grabadores Portatiles,,"0,45",,SI,0,"12,5","18,5",9,xx59,160,160,xx59,,,,,,,#REF!,"(1) Roland R-05
 (1) 2 X AA Batteries
 (1) SD Card
 (1) USB Cable (Mini-B Type)
 (1) Windscreen
 (1) Quick Start Guide
 (1) Manual",si,,,,,,,,,,,,xx59,Roland,R-05,Roland R-05,,,Grabador digital Usb,,,,,,
26,Samson,Hp-10,Auriculares,Auriculares,Auriculares Stereo Closed-Back / Cerrados,"0,34",,SI,0,,,,26,0,,26,C,Hp10,,Auriculares Stereo Closed-Back / Cerrados,Samson HP-10 - Auricular para monitoreo cerrado,"0,34",#REF!,,,,,Hp-10,Hp10,,Auriculares,,,,,,26,Samson,Hp-10,Samson Hp-10,Guitarra y Bajo,Accesorios,Auriculares,Auriculares Stereo Closed-Back / Cerrados,,,,,
xx57,Samson,Airline Micro N1,Microfono sistema inhalambrico,Electronica audio video otros,,"0,63",,SI,0,"22,5",14,"7,5",xx57,162,162,xx57,,,,,,,#REF!,"(1) AL2 Transmitter(1) AR2 Receiver(1) AR2DT Dock(1) AR2 Camera Mount(1) LM10 Lavaliere Microphone(3) Windscreens(1) 1/8"" to XLR Audio Cable(1) 1/8"" to 1/8"" Audio Cable(1) USB Y-Power Cable(1) Owner's Manual(1) Carrying Case",si,,,,,,,,,,,,xx57,Samson,Airline Micro N1,Samson Airline Micro N1,Guitarra y Bajo,,Microfono sistema inhalambrico,,,,,,
xx58,Samson,Airline Micro N5,Microfono sistema inhalambrico,Electronica audio video otros,,"0,63",,SI,0,"22,5",14,"7,5",xx58,162,162,xx58,,,,,,,#REF!,"(1) Samson AH2 Transmitter (N1 Band 642.375MHz)(1) Samson AR2 Receiver(1) Samson AR2 Dock(1) 1/8"" Stereo to 1/4"" Stereo Cable(3) Windscreens(1) USB to 2 USB-Mini Cable (1) Zipper Carry Case(1) User Manual",si,,,,,,,,,,,,xx58,Samson,Airline Micro N5,Samson Airline Micro N5,Recording,Interfaces de audio,Microfono sistema inhalambrico,,,,,,
xx53,Samsung,Galaxy S5 SM-G900F 32gb,Celular,,,,,SI,0,,,,xx53,,,xx53,,,,,,,#REF!,,,,,,,,,,,,,,xx53,Samsung,Galaxy S5 SM-G900F 32gb,Samsung Galaxy S5 SM-G900F 32gb,Recording,Interfaces de audio,Celular,,,,,,
xx26,Seymour Duncan,SH1 59 Black,Microfono de guitarra,Mics de guitarra,,"0,195",,SI,0,"7,5","10,5",4,xx26,50,50,xx26,,,,,,,#REF!,,,,,,,,,,,,,,xx26,Seymour Duncan,SH1 59 Black,Seymour Duncan SH1 59 Black,Recording,Interfaces de audio,Microfono de guitarra,,,,,,
27,Skb,H4n Case,Accesorios,,Estuche rigido p/ Zoom h4n y sus accesorios,"1,47",,SI,"0,01",25,29,13,27,0,,27,C,,,Estuche rigido p/ Zoom h4n y sus accesorios,SKB H4N Case - Estuche rigido para Zoom H4N,"1,47",#REF!,,,,,,,,Accesorios,,,,,,27,Skb,H4n Case,Skb H4n Case,Recording,Interfaces de audio,Accesorios,Estuche rigido p/ Zoom h4n y sus accesorios,,,,,
xx62,Sony,Cyber-shot DSC-RX100,Camara Fotografica,,,"0,56",,SI,0,"15,5",14,"9,5",xx62,350,350,xx62,,,,,,,#REF!,,,,,,,,,,,,,,xx62,Sony,Cyber-shot DSC-RX100,Sony Cyber-shot DSC-RX100,Recording,,Camara Fotografica,,,,,,
xx65,Sony,HDR-MV1,Camara Fotografica,,,"0,885",,SI,0,,,,xx65,270,270,xx65,,,,,,,#REF!,"Sony HDR-MV1 Music Video Recorder (Black)
 LexSpeed Ultra 32 GB MicroSDHC Class 10 Memory Card with Adapter 10MB/s Write Speed
 NP-BX1 Battery And Charger Kit
 Micro SD Card Reader
 LowePro Camera Case (Color May Vary)",si,,,,,,,,,,,,xx65,Sony,HDR-MV1,Sony HDR-MV1,Recording,,Camara Fotografica,,,,,,
44,ss,Cafeina 200mg x 100,Suplementos,,Vitaminas y Complementos Naturales,"0,075",,SI,0,,,,44,0,,44,,,,,,,#REF!,,,,,,,,,,,,,,44,ss,Cafeina 200mg x 100,ss Cafeina 200mg x 100,Recording,,Suplementos,Vitaminas y Complementos Naturales,,,,,
28,Stagg,XLR 6 metros,Cable,,Cable XLR cannon,"0,33",,SI,0,,,,28,0,,28,C,,,Cable XLR cannon,Stagg XLR - Cable de 6 metros cannon,"0,33",#REF!,,,,,,,,Cable,,,,,,28,Stagg,XLR 6 metros,Stagg XLR 6 metros,Recording,,Cable,Cable XLR cannon,,,,,
xx36,Suhr,Riot,Pedal de efecto p/ guitarra,Efectos de sonido - Instrumentos musicales,,"0,415",,SI,0,"17,5","13,5",8,xx36,175,175,xx36,,,,,,,#REF!,,,,,,,,,,,,,,xx36,Suhr,Riot,Suhr Riot,Recording,,Pedal de efecto p/ guitarra,,,,,,
mm10,Suhr,Riot Reloaded,,Electronica audio video otros,,"0,415",,,,,,,mm10,179,179,mm10,,,,,,,#REF!,,,,,,,,,,,,,,mm10,Suhr,Riot Reloaded,Suhr Riot Reloaded,Recording,,,,,,,,
29,Tascam,DP-02,Portastudio,Electronica audio video otros,Portastudio Digital Usb 2.0 con efectos 8 canales - Graba CD,"6,275",,SI,"0,03",52,41,15,29,0,,29,C,Dp02,,Portastudio Digital Usb 2.0 con efectos 8 canales - Graba CD,Tascam DP-02 - Grabadora de CD,"6,28",#REF!,,,Tacam Dp-02 / Dp02 Portastudio Nuevo cja cerrada con gtia!,58,Dp-02,Dp02,,Portastudio,,,http://tascam.com/product/dp-02/,http://tascam.com/content/downloads/products/37/E_DP-02&02CF_web.pdf,Fabricado en China,29,Tascam,DP-02,Tascam DP-02,,,Portastudio,Portastudio Digital Usb 2.0 con efectos 8 canales - Graba CD,,,,,
