"categoria, categoriaml, marca, modelo, modelo2*?, modelo 3*?",Marca,Modelo,Categoría 1,CAT ML,Descripcion,Peso en Kg,peso c/ +,Pesado x mi,,Ancho,Largo (cm),Profundidad,Cod item (Rep),Precio USA,,Recauchitado viejo,Prioridad,Modelo2,Modelo3,TIPO,titulo viejo,Peso en Kg,Cant,CONTENIDO PAQUETE,,ESCRIBIR,LARGO,palabra clave 1,palabra clave 2,palabra clave 3,,Descrip corta 1,descrip corta 2,WEB OFICIAL,MANUAL,Origen,CODIGO ITEM,,,,Cat,cat 2,Sub categoria,Descripcion,,,,Categorias,Categorias INOVAMUSICNET
5,Avid,Mbox 3 Mini,Placa de audio Usb,Placas USB - Firewire,Placa Usb Interfaz de audio / sonido,"1,47",,SI,"0,01","25,5",24,10,5,200,200,5,B,,,Placa Usb Interfaz de audio / sonido,Avid Mbox 3 mini Placa interfaz de audio sin software,"1,51",#REF!,"(1) Mbox Interface
 (1) USB cable
 (1) User Guide
 (1) Registration Card",si,Avid Mbox 3 Mini Placa de sonido Usb - nuevo c/ Gtia en Arg!,60,mbox 3 mini,mbox mini,,Placa de sonido externa,Placa de sonido externa usb de alta gama,Placa de sonido usb,,,Fabricado en China,5,Avid,Mbox 3 Mini,Avid Mbox 3 Mini,Recording,Interfaces de audio,Placa de audio Usb,Placa Usb Interfaz de audio / sonido,,,,,
xx16,Avid,Fast track solo + PT express,Placa de audio usb 2.0,Placas USB - Firewire,,1,,SI,0,,,,xx16,89,89,xx16,,,,,,,#REF!,,,,,,,,,,,,,,xx16,Avid,Fast track solo + PT express,Avid Fast track solo + PT express,Recording,Interfaces de audio,Placa de audio usb 2.0,,,,,,
6,Behringer,Ada 8000,Conversor A/D & D/A,Electronica audio video otros,Preamplificador conversor Ad/Da & Adat 8 ch,"3,58",,SI,"0,02",31,53,11,6,179,179,6,B,Ada8000,,Preamplificador conversor Ad/Da & Adat 8 ch,Behringer Ada 8000 Preamplificador/convert. analogo/digital,"3,59",#REF!,"(1) ADA8000
 (1) F14 Mic
 (1) Behringer Sticker
 (1) Warranty Registration Card
 (1) Printed Quick Start Guide
 (1) Owner's Manual",si,Behringer Ada 8000 / ada8000 - nuevo con gtia en Argentina!,59,Ada 8000,Ada8000,,Conversor A/D & D/A,Conversor A/D & D/A de 8 canales con preamplificadores de microfono Premium e interfaz ADAT,Conversor analogico digital A/D & D/A - 8 canales,http://www.behringer.com/EN/Products/ADA8000.aspx,http://www.behringer.com/assets/ADA8000_M_ES.pdf,Fabricado en China,6,Behringer,Ada 8000,Behringer Ada 8000,Recording,Conversor A/D & D/A,Conversor A/D & D/A,Preamplificador conversor Ad/Da & Adat 8 ch,,,,,
7,Behringer,Bcd 3000,Controlador DJ usb,Controladores,Mixer controlador usb p/ Dj,"3,215",,SI,"0,02",38,38,16,7,80,80,7,A,Bcd3000,,Mixer controlador usb p/ Dj,Behringer Bcd 3000 Dj controlador mixer USB,"3,22",#REF!,"(1) BCD3000
 (1) Traktor LE 2 CD
 (1) USB Cable
 (1) Behringer Sticker
 (1) Warranty Registration Card
 (1) Manual",si,Behringer Bcd 3000 / Bcd3000 - Nuevo con gtia en Argentina!,59,Bcd 3000,Bcd3000,,Controlador DJ,Controladro midi para DJ - Scratch Mp3 como Vinilos,Controlador para Deejay,http://www.behringer.com/EN/Products/BCD3000.aspx,http://www.behringer.com/assets/BCD3000_M_ES.pdf,Fabricado en China,7,Behringer,Bcd 3000,Behringer Bcd 3000,DJ,,Controlador DJ usb,Mixer controlador usb p/ Dj,,,,,
xx49,Bose,Soundlink III,Parlante Portatil,Parlante Portatil,,"2,06",,SI,"0,01","33,5","18,5","14,5",xx49,270,270,xx49,,Sound Link III,,,,,#REF!,,,,,,,,,,,,,,xx49,Bose,Soundlink III,Bose Soundlink III,fotografia y hogar,,Parlante Portatil,,,,,,
xx33,Davinci,Portable Black Vaporizer GEN 1,Vaporizador,Vaporizador,,"0,485",1,SI,0,,,,xx33,104,104,xx33,,,,,,,#REF!,"(1) Vaporizer
 (1) Cleaning Brush
 (1) 110v-240v Wall Charger
 (1) Flexi Straw
 (1) Pack of 3 Large Replacement Screens and 6 small replacement screens
 (1) 2 Oil Cans
 (1) Instructional Manual, Quickstart Guide and Vaporizer Temperature Guide
 (1) 2 Year Manufacturer Warranty
 (1) Free Snorkel Flexi-straw
 (1) Free Carrying Case
 (1) Free Shipping to US, Canada and EU - See more at: http://www.davincivaporizer.com/davinci-vaporizer-black-bundle/#sthash.q3aWiT5P.dpuf",si,,,,,,,,,,,,xx33,Davinci,Portable Black Vaporizer GEN 1,Davinci Portable Black Vaporizer GEN 1,VAPORIZADORes,"fotografia, deporte y hogar",Vaporizador,,,,,,
xx38,Davinci,Ascent Black,Vaporizador,Vaporizador,,"0,695",1,SI,0,12,15,9,xx38,195,195,xx38,,,,,,,#REF!,,,,,,,,,,,,,,xx38,Davinci,Ascent Black,Davinci Ascent Black,VAPORIZADOR,"fotografia, deporte y hogar",Vaporizador,,,,,,
xx30,Dbx,Driverack Pa+,,Electronica audio video otros,,"3,29",,SI,"0,01","56,5",29,9,xx30,235,235,xx30,,,,,,,#REF!,,,,,,,,,,,,,,xx30,Dbx,Driverack Pa+,Dbx Driverack Pa+,Recording,,,,,,,,
mm5,DBX,Driverack Pa+ 2,,Electronica audio video otros,,"3,145",,,,"56,5",29,9,mm5,340,340,mm5,,,,,,,#REF!,,,,,,,,,,,,,,mm5,DBX,Driverack Pa+ 2,DBX Driverack Pa+ 2,DJ,,,,,,,,
8,Denon,Dn-s1200,Compactera DJ,Compactera Dj Pioneer,Compactera p/ DJ,"3,975",,SI,"0,04",41,24,36,8,387,387,8,B,Dns1200,Dn-s 1200,,Denon DN-S1200 - Compactera profesional MP3 USB,"3,98",#REF!,,,Denon Dn-s1200 / Dns1200 - Nuevo con Garantia en Argentina!,59,Dn-s1200,Dns1200,Dn-s 1200,Compactera DJ,Compactera c/ Scratch para DJ,Compactera para Deejay,http://denondj.com/products/view/dn-s1200,http://b06ba727c886717f9577-fff53f927840131da4fecbedd819996a.r74.cf2.rackcdn.com//1152/documents/DN-S1200_ownersmanual.zip,Fabricado en China,8,Denon,Dn-s1200,Denon Dn-s1200,"fotografia, deporte y hogar",,Compactera DJ,Compactera p/ DJ,,,,,
mm16,Digitech,Vocalist live 5,,Electronica audio video otros,,3,,NO,,,,,mm16,350,350,mm16,,,,,,,#REF!,,,,,,,,,,,,,,mm16,Digitech,Vocalist live 5,Digitech Vocalist live 5,Recording,Interfaces de audio,,,,,,,
xx47,DJI,Phantom Aerial UAV Drone,Drone,Drones,,"2,95",,SI,"0,02",49,34,12,xx47,479,479,xx47,,,,,,,#REF!,,,,,,,,,,,,,,xx47,DJI,Phantom Aerial UAV Drone,DJI Phantom Aerial UAV Drone,Recording,Interfaces de audio,Drone,,,,,,
